#,Name,RA,Dec,RA (decimal),"RA (deg, dec)",Dec (decimal),Class,Hipparcos,Tycho,Average B/V mag,Teff, e_Teff,Log g,e_log g,log y,e_log y,Reference,E(B-V),e_E(B-V),AV,FUV (GALEX),e_FUV (GALEX),NUV (GALEX),e_NUV (GALEX),F (GSC),e_F (GSC),Bj (GSC),e_Bj (GSC),V (GSC),e_V (GSC),N (GSC),e_N (GSC),B (GSC),e_B (GSC),V (APASS),e_V (APASS),B (APASS),e_B (APASS),g (APASS),e_g (APASS),r (APASS),e_r (APASS),I (APASS),e_i (APASS),u (SDSS),e_u (SDSS),g (SDSS),e_g (SDSS),r (SDSS),e_r (SDSS),I (SDSS),e_i (SDSS),z (SDSS),e_z (SDSS),u (VST),e_u (VST),g (VST),e_g (VST),r (VST),e_r (VST),I (VST),e_i (VST),z (VST),e_z (VST),J (2MASS),e_J (2MASS),H (2MASS),e_H (2MASS),K (2MASS),e_K (2MASS),Y (UKIDSS),e_Y (UKIDSS),J (UKIDSS),e_J (UKIDSS),H (UKIDSS),e_H (UKIDSS),K (UKIDSS),e_K (UKIDSS),Z (VISTA),e_Z (VISTA),Y (VISTA),e_Y (VISTA),J (VISTA),e_J (VISTA),H (VISTA),e_H (VISTA),Ks (VISTA),e_Ks (VISTA),W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,PM_RA (SDSS),e_PM_RA (SDSS),PM_DEC (SDSS),e_PM_DEC (SDSS),PM_RA (UCAC4),e_PM_RA (UCAC4),PM_DEC (UCAC4),e_PM_DEC (UCAC4),PM_RA (PPMXL),e_PM_RA (PPMXL),PM_DEC (PPMXL),e_PM_DEC (PPMXL),PM_RA (USNO),e_PM_RA (USNO),PM_DEC (USNO),e_PM_DEC (USNO),PM_RA (APOP),e_PM_RA (APOP),PM_DEC (APOP),e_PM_DEC (APOP),PM_RA (URAT1),e_PM_RA (URAT1),PM_DEC (URAT1),e_PM_DEC (URAT1),PM_RA (SPM4),e_PM_RA (SPM4),PM_DEC (SPM4),e_PM_DEC (SPM4),CRTS DR2,SWASP,,,,,,,,,,,,,,,,
PG,1336-018,13:38:48.16,-02:01:48.53,13.646711,204.700667,-2.030147,sdBV+M,,,13.5,32800,500,5.76,0.05,,,Kupfer15,0.0405,0.0040,0.126,,,12.725,0.003,13.540,0.420,13.450,0.420,,,13.640,0.420,13.860,0.430,13.661,0.267,13.427,0.253,13.287,0.061,13.806,0.217,14.117,0.115,12.929,0.003,13.745,0.003,13.580,0.003,16.365,0.015,14.233,0.004,,,,,,,,,,,14.594,0.037,14.646,0.050,14.635,0.095,13.927,0.002,14.280,0.003,14.063,0.004,14.053,0.006,,,,,,,,,,,14.216,0.029,14.257,0.045,13.077,,9.502,,-7.0,3.0,-9.0,3.0,-6.5,2.0,-12.5,2.1,-9.1,1.7,-10.0,1.7,2.0,3.0,-10.0,1.0,2.6,2.6,-9.9,1.6,-9.7,5.7,-16.6,5.7,,,,,var ecl,not covered,,,,,,,,,,,,,,,,
SDSSJ9/10,133905.54+190814.6,13:39:05.54,19:08:14.6,13.651539,204.773083,19.137389,sdOB,,,16.9,37570,,4.72,,-2.23,,Nemethprep,0.0154,0.0003,0.048,15.569,0.022,16.031,0.019,16.980,0.360,16.930,0.350,17.270,0.260,17.460,0.390,16.800,0.360,,,,,,,,,,,16.669,0.007,16.890,0.005,17.268,0.006,17.506,0.007,17.726,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,3.0,-3.0,3.0,,,,,-9.2,5.4,-7.1,5.4,,,,,-1.6,3.1,-2.5,3.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,133928.01+652644.5,13:39:28.01,65:26:44.5,13.657781,204.866708,65.445694,sdB,,,19.0,,,,,,,,0.0173,0.0004,0.054,,,,,18.840,0.460,19.050,0.420,19.030,0.600,,,18.580,0.420,,,,,,,,,,,19.122,0.022,18.980,0.010,19.414,0.016,19.752,0.027,19.937,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,4.0,-2.0,4.0,,,,,-0.7,5.5,-3.6,5.5,,,,,6.2,8.4,-1.1,4.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
FBS,1338+666,13:39:33.05,66:20:40.8,13.659181,204.887708,66.344667,sd,,,17.6,,,,,,,,0.0197,0.0016,0.061,,,20.163,0.154,16.550,0.430,17.240,0.420,17.500,0.340,16.000,0.440,17.340,0.410,,,,,,,,,,,18.496,0.016,17.325,0.005,17.301,0.005,17.326,0.006,17.385,0.016,,,,,,,,,,,16.732,0.148,16.214,0.195,17.120,,,,,,,,,,,,,,,,,,,,16.719,0.070,17.172,,13.500,,9.829,,-2.0,3.0,0.0,3.0,,,,,2.4,4.9,-4.5,4.9,,,,,-8.0,1.8,0.3,1.4,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,13369-2753,13:39:42.65,-28:08:36.47,13.661847,204.927708,-28.143464,sdB,,,14.5,,,,,,,,0.0615,0.0011,0.191,13.560,0.005,14.013,0.003,14.640,0.420,14.720,0.330,,,15.010,0.430,14.120,0.490,14.675,0.034,14.566,0.020,14.505,0.020,14.848,0.046,15.165,0.093,,,,,,,,,,,,,,,,,,,,,15.253,0.064,15.301,0.111,15.042,0.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.5,3.9,-8.0,5.0,49.6,11.5,-34.1,11.4,,,,,-12.1,0.8,-2.2,1.1,,,,,-7.2,2.8,-4.7,2.6,const,const,,,,,,,,,,,,,,,,
PG,1338+481,13:40:08.80,47:51:52.31,13.669111,205.036667,47.864531,sdB,,,13.5,28360,300,5.50,0.05,-2.82,0.13,Luo16,0.0211,0.0033,0.065,13.502,0.009,12.937,0.005,13.720,0.410,13.440,0.410,13.810,0.280,13.870,0.420,13.620,0.420,13.588,0.034,13.177,0.066,13.103,0.114,13.786,0.031,14.046,0.044,13.161,0.003,13.809,0.004,13.791,0.003,14.154,0.003,14.450,0.004,,,,,,,,,,,14.166,0.030,14.318,0.052,14.279,0.062,,,,,,,,,,,,,,,,,,,14.275,0.029,14.254,0.044,12.717,,8.801,,7.0,3.0,-6.0,3.0,6.7,1.5,-10.5,1.7,10.6,2.3,-5.8,2.3,,,,,8.1,1.7,-7.2,1.3,3.6,6.0,-12.7,6.0,,,,,const,const,,,,,,,,,,,,,,,,
PG,1338+611,13:40:14.58,60:52:50.36,13.670717,205.060750,60.880656,sdB+G4V,1,1,11.7,,,,,,,,0.0160,0.0006,0.050,12.768,0.010,13.040,0.004,,,,,11.720,0.130,,,11.480,0.060,11.620,0.066,11.686,0.197,11.625,0.166,11.742,0.057,11.828,0.032,11.949,0.001,11.588,6.220,11.893,8.268,12.099,0.001,13.109,0.006,,,,,,,,,,,11.484,0.022,11.359,0.026,11.312,0.022,,,,,,,,,,,,,,,,,,,11.282,0.023,11.338,0.021,11.231,0.091,9.537,,0.0,0.0,0.0,0.0,14.5,0.9,-61.4,0.8,15.1,1.4,-64.7,1.6,16.0,,-60.0,,15.5,4.6,-27.8,1.8,13.1,6.0,-60.9,6.0,,,,,saturated?,const,,,,,,,,,,,,,,,,
SDSSJ9/10,134045.18+031341.3,13:40:45.18,03:13:41.3,13.679217,205.188250,3.228139,sdB,,,18.4,29580,,5.35,,-3.14,,Nemethprep,0.0203,0.0004,0.063,17.289,0.035,17.935,0.026,18.700,0.450,18.390,0.410,18.910,0.460,19.180,0.490,18.230,0.430,,,,,,,,,,,18.171,0.014,18.331,0.007,18.787,0.011,19.123,0.018,19.440,0.072,,,,,,,,,,,,,,,,,19.169,0.063,19.292,0.119,,,,,,,,,,,,,,,,,,,,,,,-10.0,3.0,-4.0,3.0,,,,,-6.7,5.2,-2.1,5.2,,,,,-4.3,3.9,-4.6,2.2,,,,,,,,,blend,too faint,,,,,,,,,,,,,,,,
SDSSJ9/10,134054.62+383423.6,13:40:54.62,38:34:23.6,13.681839,205.227583,38.573222,sdOB,,,18.9,38210,,5.19,,-2.84,0.00,Nemethprep,0.0054,0.0006,0.017,,,,,18.470,0.420,19.110,0.410,18.610,0.360,17.920,0.470,19.120,0.420,,,,,,,,,,,19.157,0.021,18.718,0.008,18.625,0.009,18.640,0.010,18.703,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.0,3.0,-6.0,3.0,,,,,-14.7,5.1,1.2,5.1,,,,,-3.7,2.8,-5.0,1.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134122.96+031751.7,13:41:22.96,03:17:51.7,13.689711,205.345667,3.297694,sdB,,,18.0,,,,,,,,0.0210,0.0006,0.065,17.522,0.038,17.854,0.026,17.890,0.440,18.050,0.410,18.200,0.360,17.960,0.450,17.870,0.430,,,,,,,,,,,18.097,0.013,17.833,0.006,17.953,0.007,18.040,0.009,18.059,0.022,,,,,,,,,,,,,,,,,17.630,0.019,17.480,0.024,17.209,0.042,17.218,0.080,,,,,,,,,,,,,,,,,,,-5.0,3.0,-4.0,3.0,,,,,-8.0,4.6,-2.5,4.6,,,,,-5.0,1.6,-6.6,3.8,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1339+052,13:41:31.48,04:54:47.36,13.692078,205.381167,4.913156,sdO,,,16.0,61370,9290,6.30,0.22,-1.61,0.38,Luo16,0.0240,0.0007,0.074,14.000,0.007,14.705,0.005,16.410,0.390,16.120,0.370,16.340,0.250,16.750,0.390,15.970,0.370,16.152,0.022,15.913,0.118,15.974,0.089,16.447,,,,15.481,0.004,15.897,0.003,16.481,0.004,16.844,0.005,17.195,0.013,,,,,,,,,,,16.569,0.138,16.477,,16.931,,16.839,0.015,16.905,0.025,16.965,0.024,16.993,0.055,,,,,,,,,,,17.213,0.148,17.196,0.497,13.045,,9.238,,1.0,2.0,-11.0,2.0,0.6,3.9,-4.0,4.5,-5.4,4.8,-7.4,4.8,,,,,-1.9,2.4,-6.9,1.6,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134133.71+071849.7,13:41:33.71,07:18:49.7,13.692697,205.390458,7.313806,sdO,,,18.4,,,,,,,,0.0228,0.0005,0.071,17.034,0.048,17.474,0.035,18.950,0.370,18.350,0.420,18.910,0.390,19.120,0.510,18.170,0.320,,,,,,,,,,,18.140,0.014,18.467,0.007,18.993,0.011,19.352,0.017,19.595,0.072,,,,,,,,,,,,,,,,,19.458,0.115,20.135,0.319,,,,,,,,,,,,,,,,,,,,,,,-4.0,3.0,-4.0,3.0,,,,,-3.1,4.7,0.9,4.7,2.0,1.0,4.0,8.0,1.8,2.4,-5.0,3.0,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1340+607,13:41:59.75,60:29:43.50,13.699931,205.498958,60.495417,sdB,,,13.1,,,,,,,,0.0138,0.0006,0.043,13.378,0.009,12.980,0.005,13.350,0.420,12.190,0.410,13.260,0.310,13.530,0.450,13.120,0.410,12.925,0.081,12.924,0.160,12.861,0.119,13.062,0.058,13.124,0.045,12.818,0.003,14.397,0.012,13.348,0.003,13.679,0.003,14.001,0.004,,,,,,,,,,,13.634,0.029,13.614,0.040,13.697,0.046,,,,,,,,,,,,,,,,,,,13.667,0.039,13.707,0.042,13.055,,9.479,,0.0,0.0,0.0,0.0,14.2,1.9,-13.6,1.9,1.6,4.8,-0.9,6.1,,,,,-2.7,8.1,-14.9,15.0,19.1,6.0,-11.8,6.0,,,,,const,not covered,,,,,,,,,,,,,,,,
vZ,1128,13:42:16.81,28:26:00.70,13.704669,205.570042,28.433528,sdO,,,14.8,,,,,,,,0.0117,0.0005,0.036,13.526,0.006,,,,,,,14.510,0.270,14.920,0.410,,,15.044,0.006,14.757,0.022,14.824,0.138,15.250,0.072,,,,,,,,,,,,,,,,,,,,,,,15.705,0.077,15.866,0.178,16.407,,15.558,0.005,15.642,0.007,15.748,0.012,15.859,0.023,,,,,,,,,,,15.564,0.055,15.542,0.146,12.263,,9.224,,,,,,-2.4,5.3,-7.4,5.3,-12.2,4.6,-4.6,4.6,,,,,,,,,-9.9,5.6,1.7,5.6,,,,,const,too faint,,,,,,,,,,,,,,,,
SBSS,1340+575,13:42:27.97,57:20:18.30,13.707769,205.616542,57.338417,sdB,,,16.5,,,,,,,,0.0037,0.0006,0.011,,,,,15.940,0.410,16.600,0.420,16.280,0.300,15.750,0.420,16.090,0.410,,,,,,,,,,,17.184,0.009,16.364,0.004,16.151,0.004,16.067,0.004,16.040,0.007,,,,,,,,,,,15.359,0.045,15.047,0.080,14.928,0.102,,,,,,,,,,,,,,,,,,,14.978,0.034,15.110,0.075,13.153,,9.545,,-13.0,3.0,-26.0,3.0,-7.2,2.2,-28.1,2.4,-13.3,4.0,-27.0,4.0,-10.0,1.0,-24.0,3.0,-11.7,3.0,-12.9,2.2,-13.5,5.5,-33.7,5.5,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134344.10+465825.2,13:43:44.10,46:58:25.2,13.728917,205.933750,46.973667,sdB,,,17.8,,,,,,,,0.0222,0.0030,0.069,16.475,0.034,16.788,0.026,17.940,0.420,17.760,0.300,18.340,0.350,18.050,0.480,17.590,0.420,,,,,,,,,,,17.413,0.008,17.703,0.005,18.159,0.007,18.422,0.011,18.703,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,3.0,2.0,3.0,,,,,-9.0,5.4,4.2,5.4,,,,,-1.0,1.3,-0.8,1.9,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134352.14+394008.3,13:43:52.14,39:40:08.3,13.731150,205.967250,39.668972,He-sdOB,,,18.1,36000,2100,4.78,0.30,-0.20,0.20,Geier15,0.0062,0.0004,0.019,17.149,0.029,17.319,0.014,18.340,0.420,18.290,0.410,18.140,0.310,18.200,0.440,18.160,0.420,,,,,,,,,,,17.858,0.011,18.035,0.006,18.238,0.007,18.418,0.010,18.553,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,3.0,-9.0,3.0,,,,,-19.9,5.1,-6.1,5.1,-12.0,2.0,-6.0,3.0,-14.0,2.6,-4.8,2.3,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,13423-2728,13:45:11.44,-27:43:19.25,13.753178,206.297667,-27.722014,sdOB,,,15.8,,,,,,,,0.0574,0.0009,0.178,14.045,0.009,14.671,0.005,16.160,0.410,16.070,0.270,,,16.550,0.430,15.090,0.490,16.204,0.023,15.826,0.016,,,,,16.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,9.2,-15.0,10.9,-1.7,6.1,-5.5,6.1,,,,,5.6,1.2,-8.8,1.2,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134545.23-000641.6,13:45:45.23,-00:06:41.6,13.762564,206.438458,0.111556,sdOB,,,,37680,,5.60,,-0.49,,Nemethprep,0.0226,0.0009,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134600.02+013558.1,13:46:00.02,01:35:58.1,13.766672,206.500083,1.599472,sdB,,,18.7,28370,,5.47,,-1.47,,Nemethprep,0.0235,0.0003,0.073,18.338,0.092,18.469,0.036,18.750,0.470,18.700,0.410,,,,,19.030,0.440,,,,,,,,,,,18.599,0.019,18.548,0.008,18.961,0.011,19.257,0.018,19.461,0.067,,,,,,,,,,,,,,,,,19.189,0.085,19.686,0.206,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,-5.0,3.0,,,,,-12.5,5.0,7.8,5.0,,,,,-3.3,1.3,2.5,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1343-101,13:46:08.07,-10:26:48.19,13.768908,206.533625,-10.446719,sdB,,,13.5,28900,1000,5.65,0.15,-3.00,0.10,Saffer94,0.0495,0.0006,0.153,12.706,0.005,13.113,0.004,13.560,0.260,13.430,0.200,,,13.870,0.290,13.680,0.450,13.675,0.029,13.476,0.066,13.470,0.058,13.948,0.060,14.189,0.049,,,,,,,,,,,,,,,13.9638,0.0007,,,,,14.317,0.044,14.393,0.075,14.413,0.108,,,,,,,,,,,14.121,0.003,14.244,0.003,14.392,0.005,14.473,0.013,14.476,0.033,14.502,0.058,12.673,0.445,8.881,,,,,,-22.6,2.4,1.1,2.8,-26.3,2.2,-6.5,2.2,,,,,-19.8,6.0,-7.7,5.6,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,134613.77+150352.9,13:46:13.77,15:03:52.9,13.770492,206.557375,15.064694,sdOB?,,,19.9,,,,,,,,0.0271,0.0010,0.084,18.729,0.098,19.013,0.037,20.230,0.580,20.040,0.440,,,,,19.900,0.430,,,,,,,,,,,19.657,0.030,19.971,0.015,20.481,0.027,20.838,0.052,20.781,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,5.0,-2.0,5.0,,,,,-8.6,7.4,-1.4,7.4,,,,,-12.5,4.1,2.3,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,13436-1335,13:46:19.18,-13:50:25.87,13.771994,206.579917,-13.840519,sdB,,,16.0,,,,,,,,0.0564,0.0007,0.175,20.129,0.189,17.068,0.030,15.740,0.300,16.100,0.280,,,15.820,0.310,15.990,0.450,15.807,0.056,16.096,0.069,15.870,0.065,15.953,0.051,16.020,,,,,,,,,,,,,,,,,,,,,,15.723,0.062,15.623,0.151,15.351,0.224,,,,,,,,,,,15.671,0.006,15.642,0.006,15.599,0.011,15.595,0.022,15.688,0.050,15.852,0.165,12.441,,9.047,,,,,,-78.9,4.3,-76.2,4.4,-75.4,4.9,-78.3,4.9,-70.0,3.0,-78.0,3.0,-70.4,2.4,-77.9,2.8,-78.0,5.6,-84.3,5.6,,,,,const,too faint,,,,,,,,,,,,,,,,
SDSSJ,134621.23+224836.7,13:46:21.23,22:48:36.7,13.772564,206.588458,22.810194,He-sdOB,,,16.8,37790,,5.51,,0.20,,Nemethprep,0.0119,0.0005,0.037,15.577,0.025,15.837,0.013,17.200,0.420,16.740,0.130,17.430,0.330,17.600,0.430,16.340,0.410,,,,,,,,,,,16.442,0.006,16.878,0.004,17.408,0.005,17.768,0.007,18.109,0.020,,,,,,,,,,,,,,,,,17.784,0.022,17.930,0.040,18.054,0.061,18.482,0.185,,,,,,,,,,,,,,,,,,,-10.0,2.0,3.0,2.0,,,,,-6.2,4.6,-2.3,4.6,,,,,-5.0,0.9,-2.3,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1344+285,13:46:32.71,28:17:23.13,13.775753,206.636292,28.289758,sdB+WD,,,14.7,28800,600,5.46,0.07,-2.60,0.20,Geier15,0.0126,0.0007,0.039,13.690,0.010,14.139,0.004,15.080,0.400,14.660,0.390,14.820,0.270,15.750,0.370,14.370,0.410,14.908,0.070,14.686,0.101,14.769,0.137,15.086,0.082,15.365,0.090,14.464,0.004,14.611,0.003,15.109,0.003,15.462,0.003,15.779,0.007,,,,,,,,,,,15.469,0.050,15.497,0.122,15.521,0.174,15.391,0.005,15.513,0.007,15.595,0.010,15.713,0.020,,,,,,,,,,,15.817,0.055,16.227,0.217,13.015,,9.288,,-15.0,2.0,-6.0,2.0,-14.0,3.9,-7.4,4.2,-19.7,4.2,-8.9,4.2,-14.0,4.0,,3.0,-15.0,2.5,-5.8,2.6,,,,,,,,,const,not covered,,,,,,,,,,,,,,,,
SDSSJ,134635.67-001804.5,13:46:35.67,-00:18:04.5,13.776575,206.648625,0.301250,sdB,,,,26360,,5.27,,-1.69,,Nemethprep,0.0240,0.0003,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blend,too faint,,,,,,,,,,,,,,,,
EC,13439-2314,13:46:43.97,-23:29:13.22,13.778881,206.683208,-23.487006,sdB,,,14.8,,,,,,,,0.0683,0.0007,0.212,14.228,0.013,14.612,0.009,14.890,0.420,14.990,0.350,,,15.150,0.430,14.590,0.460,14.983,0.054,14.816,0.037,14.760,0.014,15.156,0.009,15.442,,,,,,,,,,,,,,,,,,,,,,15.477,0.054,15.509,0.105,15.817,0.275,,,,,,,,,,,,,,,,,,,15.743,0.050,15.904,0.177,12.963,,9.124,,,,,,-8.1,2.0,-6.8,3.9,-10.7,5.2,-11.6,5.2,-4.0,5.0,-10.0,3.0,-3.8,2.0,-10.3,2.0,,,,,-9.9,2.0,-9.1,1.9,const,too faint,,,,,,,,,,,,,,,,
PG,1344+114,13:47:00.52,11:11:23.89,13.783478,206.752167,11.189969,sdB,,,14.8,,,,,,,,0.0290,0.0008,0.090,14.162,0.013,14.443,0.006,14.970,0.260,14.800,0.240,15.010,0.190,15.180,0.260,14.960,0.250,15.000,,14.852,0.084,14.748,,15.139,,15.606,,14.657,0.004,14.666,0.004,15.161,0.004,15.473,0.004,15.809,0.006,,,,,,,,,,,15.430,0.061,15.457,0.119,16.191,,15.398,0.005,15.490,0.005,15.572,0.011,15.658,0.019,,,,,,,,,,,15.697,0.048,15.716,0.132,12.989,,9.336,,-15.0,3.0,4.0,3.0,-8.3,2.0,9.2,2.7,-16.4,4.8,3.0,4.8,-8.0,3.0,10.0,2.0,-7.0,5.6,3.5,4.6,5.2,6.0,26.9,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
EC,13445-1738,13:47:18.31,-17:53:32.02,13.788419,206.826292,-17.892228,sdB,,,15.9,,,,,,,,0.0964,0.0019,0.299,,,,,,,15.960,0.410,,,15.840,0.440,16.090,0.430,15.890,0.158,15.879,0.046,15.816,0.070,16.064,0.094,,,,,,,,,,,,,,,,,,,,,,,16.179,0.088,16.270,0.225,15.469,,,,,,,,,,,,16.092,0.006,16.083,0.007,,,16.215,0.038,,,,,,,,,,,,,-8.7,7.1,-13.8,6.8,,,,,,,,,,,,,,,,,,,,,"var irregular, RR Lyr?",too faint,,,,,,,,,,,,,,,,
SDSSJ,134748.59+080616.1,13:47:48.59,08:06:16.1,13.796831,206.952458,8.104472,sdB,,,18.2,31210,,5.16,,-2.28,,Nemethprep,0.0204,0.0013,0.063,17.093,0.051,17.412,0.035,18.780,0.430,18.140,0.420,18.630,0.360,18.630,0.460,18.040,0.430,,,,,,,,,,,18.002,0.012,18.244,0.007,18.735,0.010,19.117,0.014,19.398,0.053,,,,,,,,,,,,,,,,,19.194,0.086,19.101,0.108,,,,,,,,,,,,,,,,,,,,,,,-5.0,3.0,-2.0,3.0,,,,,-14.1,4.7,-2.0,4.7,,,,,-4.4,3.5,-4.6,2.7,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
LBQS,1345-0057,13:48:20.40,-01:12:24.50,13.805667,207.085000,-1.206806,sdB,,,18.4,,,,,,,,0.0330,0.0013,0.102,17.249,0.035,17.645,0.024,18.620,0.440,18.370,0.420,,,18.840,0.610,18.700,0.440,,,,,,,,,,,18.191,0.014,18.376,0.007,18.836,0.010,19.155,0.017,19.457,0.065,,,,,,,,,,,,,,,,,19.277,0.060,19.386,0.132,19.347,0.200,,,,,,,,,,,,,17.688,0.202,17.074,,13.070,,8.759,,1.0,3.0,-3.0,3.0,,,,,1.3,5.0,-1.4,5.0,4.0,1.0,,3.0,0.3,3.5,-5.2,1.5,,,,,,,,,const,too faint,,,,,,,,,,,,,,,,
PG,1348+745,13:48:43.60,74:15:46.50,13.812111,207.181667,74.262917,sdB,,,15.6,,,,,,,,0.0173,0.0010,0.054,,,14.672,0.006,16.090,0.430,15.850,0.410,,,16.300,0.430,15.060,0.420,15.975,0.076,15.565,0.028,15.592,,16.132,,,,,,,,,,,,,,,,,,,,,,,,16.563,0.155,16.182,,15.439,,,,,,,,,,,,,,,,,,,,16.273,0.056,16.255,0.171,12.668,0.285,9.206,,,,,,-7.5,13.7,-30.4,17.0,-5.8,4.5,-9.0,4.5,,,,,-4.9,1.2,-2.4,1.4,5.5,5.6,-12.9,5.6,,,,,not covered,too faint,,,,,,,,,,,,,,,,
EC,13460-2255,13:48:51.01,-23:10:06.07,13.814169,207.212542,-23.168353,sdB,,,15.6,,,,,,,,0.0643,0.0006,0.199,15.250,0.025,15.189,0.010,15.850,0.420,15.580,0.310,,,16.040,0.430,15.510,0.460,15.812,0.045,15.675,0.083,15.581,,15.945,,,,,,,,,,,,,,,,,,,,,,,,16.260,0.098,16.334,0.266,16.669,,,,,,,,,,,,,,,,,,,,16.510,0.085,16.219,0.208,12.992,,9.404,,,,,,1.9,4.1,1.0,2.7,2.1,5.5,3.0,5.5,,,,,-4.8,1.5,-4.8,1.2,,,,,-6.4,2.0,0.3,1.8,const,too faint,,,,,,,,,,,,,,,,
EC,13463-2710,13:49:11.59,-27:25:30.46,13.819886,207.298292,-27.425128,sdB+,,,14.8,,,,,,,,0.0533,0.0008,0.165,14.703,0.019,14.848,0.014,14.250,0.420,14.690,0.280,,,14.080,0.430,14.770,0.460,14.671,0.016,14.897,0.026,14.723,0.024,14.630,0.036,14.574,0.096,,,,,,,,,,,,,,,,,,,,,13.910,0.026,13.765,0.039,13.710,0.045,,,,,,,,,,,,,,,,,,,13.641,0.025,13.639,0.036,12.566,,8.622,,,,,,-10.3,1.3,-13.6,2.9,-10.4,4.0,-11.2,4.0,-4.0,1.0,-14.0,2.0,-5.1,1.4,-16.7,1.7,,,,,-2.7,1.7,-7.0,1.6,const,const,,,,,,,,,,,,,,,,
SDSSJ9/10,134947.70+250810.9,13:49:47.70,25:08:10.9,13.829917,207.448750,25.136361,sdB,,,15.7,29610,,5.54,,-3.00,,Nemethprep,0.0140,0.0006,0.043,14.663,0.018,14.906,0.008,15.910,0.410,15.690,0.430,16.190,0.320,16.180,0.420,15.590,0.410,,,,,,,,,,,15.373,0.004,15.593,0.004,16.115,0.004,16.467,0.005,16.818,0.010,,,,,,,,,,,16.441,0.103,16.328,,15.785,,16.454,0.009,16.496,0.013,16.599,0.028,16.913,0.062,,,,,,,,,,,16.783,0.094,16.406,0.215,13.181,,8.948,,-28.0,2.0,-15.0,2.0,-23.8,5.7,-26.4,5.5,-29.4,4.2,-15.0,4.2,-24.0,2.0,-12.0,2.0,-27.5,2.0,-17.7,1.1,-24.6,6.0,-18.3,6.0,,,,,const,too faint,,,,,,,,,,,,,,,,
HIP,67513,13:50:01.58,41:06:50.07,13.833772,207.506583,41.113908,sdB,1,1,12.2,17500,5000,5.00,0.50,,,Bixler91,0.0056,0.0002,0.018,13.561,0.006,13.414,0.003,,,,,12.030,0.150,,,11.740,0.070,11.771,0.020,11.746,0.041,11.644,0.025,11.942,0.027,12.120,0.041,14.890,0.013,11.884,6.67321E,12.002,6.577,14.737,0.012,13.727,0.009,,,,,,,,,,,11.813,0.022,11.818,0.019,11.819,0.022,,,,,,,,,,,,,,,,,,,11.810,0.024,11.830,0.022,11.928,0.189,9.506,,0.0,0.0,0.0,0.0,-18.1,0.6,3.3,0.8,-17.8,1.3,3.3,1.3,-20.0,,2.0,,-15.4,4.1,6.9,2.5,-11.2,5.2,7.3,5.2,,,,,saturated?,const,,,,,,,,,,,,,,,,
